,Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
353,Chasing Amy,"Comedy, Drama, Romance  ",113,1997,72,71,133498
354,Seven Years in Tibet,"Adventure, Biography, Drama  ",136,1997,71,55,133440
355,My Best Friend's Wedding,"Comedy, Drama, Romance  ",105,1997,63,50,132865
356,Anastasia,"Animation, Adventure, Drama  ",94,1997,72,61,114550
357,The Jackal,"Action, Crime, Drama  ",124,1997,64,36,108808
358,The Full Monty,"Comedy, Drama  ",91,1997,72,75,100491
359,Bean,"Adventure, Comedy, Family  ",89,1997,65,52,99391
360,Anaconda,"Action, Adventure, Horror  ",89,1997,48,37,98529
361,Conspiracy Theory,"Action, Mystery, Thriller  ",135,1997,67,49,95374
362,Grosse Pointe Blank,"Action, Comedy, Crime  ",107,1997,73,76,89572
363,Cop Land,"Crime, Drama, Thriller  ",105,1997,69,64,88298
364,Flubber,"Comedy, Family, Sci-Fi  ",93,1997,53,37,85626
365,Dante's Peak,"Action, Adventure, Thriller  ",108,1997,60,43,84264
